Nome,Status Flora do Brasil,Nome Aceito Flora do Brasil,Status PlantList,Nome Aceito PlantList,Plant List x Flora do Brasil
Gamochaeta americana,Nome Aceito,Gamochaeta americana,Não Encontrado,Não Encontrado,Diferente
Gnaphalium spicatum,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Grazielia intermedia,Nome Aceito,Grazielia intermedia,Nome Aceito,Grazielia intermedia
Gymnocoronis spilanthoides,Nome Aceito,Gymnocoronis spilanthoides,Nome Aceito,Gymnocoronis spilanthoides
Jaegeria hirta,Nome Aceito,Jaegeria hirta,Nome Aceito,Jaegeria hirta
Jungia floribunda,Nome Aceito,Jungia floribunda,Nome Aceito,Jungia floribunda
Lepidaploa chalybaea,Nome Aceito,Lepidaploa chalybaea,Nome Aceito,Lepidaploa chalybaea
Lessingianthus glabratus,Nome Aceito,Lessingianthus glabratus,Nome Aceito,Lessingianthus glabratus
Mikania congesta,Nome Aceito,Mikania congesta,Nome Aceito,Mikania congesta
Mikania cordifolia,Nome Aceito,Mikania cordifolia,Nome Aceito,Mikania cordifolia
Mikania micrantha,Nome Aceito,Mikania micrantha,Nome Aceito,Mikania micrantha
Mikania periplocifolia,Nome Aceito,Mikania periplocifolia,Nome Aceito,Mikania periplocifolia
Pacourina edulis,Nome Aceito,Pacourina edulis,Nome Aceito,Pacourina edulis
Picrosia longifolia,Nome Aceito,Picrosia longifolia,Nome Aceito,Picrosia longifolia
Pluchea sagittalis,Nome Aceito,Pluchea sagittalis,Nome Aceito,Pluchea sagittalis
Praxelis sanctopaulensis,Nome Aceito,Praxelis sanctopaulensis,Nome Aceito,Praxelis sanctopaulensis
Pterocaulon balansae,Nome Aceito,Pterocaulon balansae,Nome Aceito,Pterocaulon balansae
Richterago radiata,Nome Aceito,Richterago radiata,Sinônimo,Actinoseris radiata,Diferente
Rolandra fruticosa,Nome Aceito,Rolandra fruticosa,Nome Aceito,Rolandra fruticosa
Senecio bonariensis,Nome Aceito,Senecio bonariensis,Nome Aceito,Senecio bonariensis
Senecio erisithalifolius,Nome Aceito,Senecio erisithalifolius,Nome Aceito,Senecio erisithalifolius
Senecio icoglossus,Nome Aceito,Senecio icoglossus,Não Encontrado,Não Encontrado,Diferente
Senecio mattfeldianus,Não Encontrado,Não Encontrado,Nome Aceito,Senecio mattfeldianus
Senecio tweediei,Nome Aceito,Senecio tweediei,Nome Aceito,Senecio tweediei
Sonchus oleraceus,Nome Aceito,Sonchus oleraceus,Nome Aceito,Sonchus oleraceus
Sphagneticola trilobata,Nome Aceito,Sphagneticola trilobata,Nome Aceito,Sphagneticola trilobata
Synedrella nodiflora,Nome Aceito,Synedrella nodiflora,Nome Aceito,Synedrella nodiflora
Tilesia baccata,Nome Aceito,Tilesia baccata,Nome Aceito,Tilesia baccata
Trichospira verticillata,Nome Aceito,Trichospira verticillata,Nome Aceito,Trichospira verticillata
Vernonanthura beyrichii,Nome Aceito,Vernonanthura beyrichii,Nome Aceito,Vernonanthura beyrichii
Vernonanthura brasiliana,Nome Aceito,Vernonanthura brasiliana,Nome Aceito,Vernonanthura brasiliana
Vernonia scorpioides,Sinônimo,Cyrtocymura scorpioides,Não Encontrado,Não Encontrado,Diferente
Wedelia alagoensis,Sinônimo,Wedelia villosa,Nome Aceito,Wedelia alagoensis,Diferente
Wedelia calycina,Nome Aceito,Wedelia calycina,Não Encontrado,Não Encontrado,Diferente
Impatiens wallerana,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Begonia cucullata,Nome Aceito,Begonia cucullata,Nome Aceito,Begonia cucullata
Begonia fischeri Schrank,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Begonia hirtella,Nome Aceito,Begonia hirtella,Nome Aceito,Begonia hirtella
Begonia reniformis,Nome Aceito,Begonia reniformis,Nome Aceito,Begonia reniformis
Pleonotoma clematis,Nome Aceito,Pleonotoma clematis,Nome Aceito,Pleonotoma clematis
Tanaecium pyramidatum,Nome Aceito,Tanaecium pyramidatum,Nome Aceito,Tanaecium pyramidatum
Tynanthus polyanthus,Nome Aceito,Tynanthus polyanthus,Nome Aceito,Tynanthus polyanthus
Cordia curassavica,Sinônimo,Varronia curassavica,Nome Aceito,Cordia curassavica,Diferente
Cordia multispicata,Sinônimo,Varronia multispicata,Nome Aceito,Cordia multispicata,Diferente
Cordia superba,Nome Aceito,Cordia superba,Nome Aceito,Cordia superba
Cordia tetrandra,Nome Aceito,Cordia tetrandra,Nome Aceito,Cordia tetrandra
Euploca procumbens,Nome Aceito,Euploca procumbens,Sinônimo,Heliotropium procumbens,Diferente
Heliotropium angiospermum,Nome Aceito,Heliotropium angiospermum,Nome Aceito,Heliotropium angiospermum
Heliotropium elongatum,Nome Aceito,Heliotropium elongatum,Nome Aceito,Heliotropium elongatum
Heliotropium indicum,Nome Aceito,Heliotropium indicum,Nome Aceito,Heliotropium indicum
Heliotropium procumbens,Sinônimo,Euploca procumbens,Nome Aceito,Heliotropium procumbens,Diferente
Tournefortia bicolor,Nome Aceito,Tournefortia bicolor,Nome Aceito,Tournefortia bicolor
Cardamine bonariensis,Nome Aceito,Cardamine bonariensis,Nome Aceito,Cardamine bonariensis
Nasturtium officinale,Não Encontrado,Não Encontrado,Nome Aceito,Nasturtium officinale
Burmannia australis,Nome Aceito,Burmannia australis,Nome Aceito,Burmannia australis
Burmannia capitata,Nome Aceito,Burmannia capitata,Nome Aceito,Burmannia capitata
Burmannia flava,Nome Aceito,Burmannia flava,Nome Aceito,Burmannia flava
Cabomba aquatica,Nome Aceito,Cabomba aquatica,Nome Aceito,Cabomba aquatica
Cabomba caroliniana,Nome Aceito,Cabomba caroliniana,Nome Aceito,Cabomba caroliniana
Cabomba furcata,Nome Aceito,Cabomba furcata,Nome Aceito,Cabomba furcata
Cabomba haynesii,Nome Aceito,Cabomba haynesii,Nome Aceito,Cabomba haynesii
Centropogon cornutus,Nome Aceito,Centropogon cornutus,Nome Aceito,Centropogon cornutus
Lobelia anceps,Nome Aceito,Lobelia anceps,Nome Aceito,Lobelia anceps
Lobelia aquatica,Nome Aceito,Lobelia aquatica,Nome Aceito,Lobelia aquatica
Lobelia camporum,Nome Aceito,Lobelia camporum,Nome Aceito,Lobelia camporum
Lobelia exaltata,Nome Aceito,Lobelia exaltata,Nome Aceito,Lobelia exaltata
Lobelia fistulosa,Nome Aceito,Lobelia fistulosa,Nome Aceito,Lobelia fistulosa
Lobelia nummularioides,Nome Aceito,Lobelia nummularioides,Nome Aceito,Lobelia nummularioides
Lobelia xalapensis,Nome Aceito,Lobelia xalapensis,Nome Aceito,Lobelia xalapensis
Pratia hederacea,Sinônimo,Lobelia hederacea,Não Encontrado,Não Encontrado,Diferente
Siphocampylus sulfereus,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Canna indica,Nome Aceito,Canna indica,Nome Aceito,Canna indica
Canna glauca,Nome Aceito,Canna glauca,Nome Aceito,Canna glauca
Canna xgeneralis,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Aneilema umbrosum,Nome Aceito,Aneilema umbrosum,Nome Aceito,Aneilema umbrosum
Callisia filiformis (M.Martens,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Commelina diffusa Burm.f.,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Commelina erecta,Nome Aceito,Commelina erecta,Nome Aceito,Commelina erecta
Commelina nudiflora,Sinônimo,Murdannia nudiflora,Não Encontrado,Não Encontrado,Diferente
Commelina obliqua Vahl,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Commelina schomburgkiana,Sinônimo,Commelina longicaulis,Nome Aceito,Commelina schomburgkiana,Diferente
Dichorisandra hexandra,Nome Aceito,Dichorisandra hexandra,Nome Aceito,Dichorisandra hexandra
Floscopa glabrata,Nome Aceito,Floscopa glabrata,Nome Aceito,Floscopa glabrata
Tripogandra diuretica,Nome Aceito,Tripogandra diuretica,Nome Aceito,Tripogandra diuretica
Anisea cernua,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Aniseia martinicensis(Jacq.),Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Cressa truxillensis,Nome Aceito,Cressa truxillensis,Nome Aceito,Cressa truxillensis
Evolvulus filipes,Nome Aceito,Evolvulus filipes,Nome Aceito,Evolvulus filipes
Evolvulus nummularius,Nome Aceito,Evolvulus nummularius,Nome Aceito,Evolvulus nummularius
Evolvulus pohlli,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Ipomoea alba,Nome Aceito,Ipomoea alba,Nome Aceito,Ipomoea alba
Ipomoea aquatica,Nome Aceito,Ipomoea aquatica,Nome Aceito,Ipomoea aquatica
Ipomoea asaralifolia,Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Ipomoea asarifolia (Desr.),Não Encontrado,Não Encontrado,Não Encontrado,Não Encontrado
Ipomoea batatas,Nome Aceito,Ipomoea batatas,Nome Aceito,Ipomoea batatas
Ipomoea cairica,Nome Aceito,Ipomoea cairica,Nome Aceito,Ipomoea cairica
Ipomoea carnea,Nome Aceito,Ipomoea carnea,Nome Aceito,Ipomoea carnea
Ipomoea cynanchifolia,Nome Aceito,Ipomoea cynanchifolia,Nome Aceito,Ipomoea cynanchifolia
Ipomoea fimbriosepala,Nome Aceito,Ipomoea fimbriosepala,Nome Aceito,Ipomoea fimbriosepala
Ipomoea fistulosa,Sinônimo,Ipomoea carnea,Não Encontrado,Não Encontrado,Diferente
Ipomoea indivisa,Nome Aceito,Ipomoea indivisa,Nome Aceito,Ipomoea indivisa
Ipomoea philomega,Nome Aceito,Ipomoea philomega,Nome Aceito,Ipomoea philomega
Ipomoea quamoclit,Nome Aceito,Ipomoea quamoclit,Nome Aceito,Ipomoea quamoclit
Ipomoea setifera,Nome Aceito,Ipomoea setifera,Nome Aceito,Ipomoea setifera
Ipomoea setosa,Nome Aceito,Ipomoea setosa,Não Encontrado,Não Encontrado,Diferente
Ipomoea serpens,Sinônimo,Ipomoea maurandioides,Não Encontrado,Não Encontrado,Diferente
Ipomoea squamosa,Nome Aceito,Ipomoea squamosa,Nome Aceito,Ipomoea squamosa
Ipomoea subrevoluta,Nome Aceito,Ipomoea subrevoluta,Nome Aceito,Ipomoea subrevoluta
Ipomoea wrightii,Nome Aceito,Ipomoea wrightii,Nome Aceito,Ipomoea wrightii
Iseia luxurians,Nome Aceito,Iseia luxurians,Nome Aceito,Iseia luxurians
Jacquemontia heterantha,Nome Aceito,Jacquemontia heterantha,Nome Aceito,Jacquemontia heterantha
Merremia aegyptia,Nome Aceito,Merremia aegyptia,Nome Aceito,Merremia aegyptia
Merremia umbellata,Nome Aceito,Merremia umbellata,Nome Aceito,Merremia umbellata
Operculina hamiltonii,Nome Aceito,Operculina hamiltonii,Nome Aceito,Operculina hamiltonii
